# EUC-JP.TXT
# Generated from JIS0208.TXT (JIS X 0208) and JIS0201.TXT (half-width katakana)
# EUC-JP encoding: JIS X 0208 row/col | 0x80, SS2+byte for half-kana
# Format: 0xNATIVE  0xUNICODE  # source
#
0x8EA1	0xFF61	# SS2 0xA1
0x8EA2	0xFF62	# SS2 0xA2
0x8EA3	0xFF63	# SS2 0xA3
0x8EA4	0xFF64	# SS2 0xA4
0x8EA5	0xFF65	# SS2 0xA5
0x8EA6	0xFF66	# SS2 0xA6
0x8EA7	0xFF67	# SS2 0xA7
0x8EA8	0xFF68	# SS2 0xA8
0x8EA9	0xFF69	# SS2 0xA9
0x8EAA	0xFF6A	# SS2 0xAA
0x8EAB	0xFF6B	# SS2 0xAB
0x8EAC	0xFF6C	# SS2 0xAC
0x8EAD	0xFF6D	# SS2 0xAD
0x8EAE	0xFF6E	# SS2 0xAE
0x8EAF	0xFF6F	# SS2 0xAF
0x8EB0	0xFF70	# SS2 0xB0
0x8EB1	0xFF71	# SS2 0xB1
0x8EB2	0xFF72	# SS2 0xB2
0x8EB3	0xFF73	# SS2 0xB3
0x8EB4	0xFF74	# SS2 0xB4
0x8EB5	0xFF75	# SS2 0xB5
0x8EB6	0xFF76	# SS2 0xB6
0x8EB7	0xFF77	# SS2 0xB7
0x8EB8	0xFF78	# SS2 0xB8
0x8EB9	0xFF79	# SS2 0xB9
0x8EBA	0xFF7A	# SS2 0xBA
0x8EBB	0xFF7B	# SS2 0xBB
0x8EBC	0xFF7C	# SS2 0xBC
0x8EBD	0xFF7D	# SS2 0xBD
0x8EBE	0xFF7E	# SS2 0xBE
0x8EBF	0xFF7F	# SS2 0xBF
0x8EC0	0xFF80	# SS2 0xC0
0x8EC1	0xFF81	# SS2 0xC1
0x8EC2	0xFF82	# SS2 0xC2
0x8EC3	0xFF83	# SS2 0xC3
0x8EC4	0xFF84	# SS2 0xC4
0x8EC5	0xFF85	# SS2 0xC5
0x8EC6	0xFF86	# SS2 0xC6
0x8EC7	0xFF87	# SS2 0xC7
0x8EC8	0xFF88	# SS2 0xC8
0x8EC9	0xFF89	# SS2 0xC9
0x8ECA	0xFF8A	# SS2 0xCA
0x8ECB	0xFF8B	# SS2 0xCB
0x8ECC	0xFF8C	# SS2 0xCC
0x8ECD	0xFF8D	# SS2 0xCD
0x8ECE	0xFF8E	# SS2 0xCE
0x8ECF	0xFF8F	# SS2 0xCF
0x8ED0	0xFF90	# SS2 0xD0
0x8ED1	0xFF91	# SS2 0xD1
0x8ED2	0xFF92	# SS2 0xD2
0x8ED3	0xFF93	# SS2 0xD3
0x8ED4	0xFF94	# SS2 0xD4
0x8ED5	0xFF95	# SS2 0xD5
0x8ED6	0xFF96	# SS2 0xD6
0x8ED7	0xFF97	# SS2 0xD7
0x8ED8	0xFF98	# SS2 0xD8
0x8ED9	0xFF99	# SS2 0xD9
0x8EDA	0xFF9A	# SS2 0xDA
0x8EDB	0xFF9B	# SS2 0xDB
0x8EDC	0xFF9C	# SS2 0xDC
0x8EDD	0xFF9D	# SS2 0xDD
0x8EDE	0xFF9E	# SS2 0xDE
0x8EDF	0xFF9F	# SS2 0xDF
0xA1A1	0x3000	# JIS 0x2121
0xA1A2	0x3001	# JIS 0x2122
0xA1A3	0x3002	# JIS 0x2123
0xA1A4	0xFF0C	# JIS 0x2124
0xA1A5	0xFF0E	# JIS 0x2125
0xA1A6	0x30FB	# JIS 0x2126
0xA1A7	0xFF1A	# JIS 0x2127
0xA1A8	0xFF1B	# JIS 0x2128
0xA1A9	0xFF1F	# JIS 0x2129
0xA1AA	0xFF01	# JIS 0x212A
0xA1AB	0x309B	# JIS 0x212B
0xA1AC	0x309C	# JIS 0x212C
0xA1AD	0x00B4	# JIS 0x212D
0xA1AE	0xFF40	# JIS 0x212E
0xA1AF	0x00A8	# JIS 0x212F
0xA1B0	0xFF3E	# JIS 0x2130
0xA1B1	0xFFE3	# JIS 0x2131
0xA1B2	0xFF3F	# JIS 0x2132
0xA1B3	0x30FD	# JIS 0x2133
0xA1B4	0x30FE	# JIS 0x2134
0xA1B5	0x309D	# JIS 0x2135
0xA1B6	0x309E	# JIS 0x2136
0xA1B7	0x3003	# JIS 0x2137
0xA1B8	0x4EDD	# JIS 0x2138
0xA1B9	0x3005	# JIS 0x2139
0xA1BA	0x3006	# JIS 0x213A
0xA1BB	0x3007	# JIS 0x213B
0xA1BC	0x30FC	# JIS 0x213C
0xA1BD	0x2015	# JIS 0x213D
0xA1BE	0x2010	# JIS 0x213E
0xA1BF	0xFF0F	# JIS 0x213F
0xA1C0	0xFF3C	# JIS 0x2140 FULLWIDTH REVERSE SOLIDUS
0xA1C1	0x301C	# JIS 0x2141
0xA1C2	0x2016	# JIS 0x2142
0xA1C3	0xFF5C	# JIS 0x2143
0xA1C4	0x2026	# JIS 0x2144
0xA1C5	0x2025	# JIS 0x2145
0xA1C6	0x2018	# JIS 0x2146
0xA1C7	0x2019	# JIS 0x2147
0xA1C8	0x201C	# JIS 0x2148
0xA1C9	0x201D	# JIS 0x2149
0xA1CA	0xFF08	# JIS 0x214A
0xA1CB	0xFF09	# JIS 0x214B
0xA1CC	0x3014	# JIS 0x214C
0xA1CD	0x3015	# JIS 0x214D
0xA1CE	0xFF3B	# JIS 0x214E
0xA1CF	0xFF3D	# JIS 0x214F
0xA1D0	0xFF5B	# JIS 0x2150
0xA1D1	0xFF5D	# JIS 0x2151
0xA1D2	0x3008	# JIS 0x2152
0xA1D3	0x3009	# JIS 0x2153
0xA1D4	0x300A	# JIS 0x2154
0xA1D5	0x300B	# JIS 0x2155
0xA1D6	0x300C	# JIS 0x2156
0xA1D7	0x300D	# JIS 0x2157
0xA1D8	0x300E	# JIS 0x2158
0xA1D9	0x300F	# JIS 0x2159
0xA1DA	0x3010	# JIS 0x215A
0xA1DB	0x3011	# JIS 0x215B
0xA1DC	0xFF0B	# JIS 0x215C
0xA1DD	0x2212	# JIS 0x215D
0xA1DE	0x00B1	# JIS 0x215E
0xA1DF	0x00D7	# JIS 0x215F
0xA1E0	0x00F7	# JIS 0x2160
0xA1E1	0xFF1D	# JIS 0x2161
0xA1E2	0x2260	# JIS 0x2162
0xA1E3	0xFF1C	# JIS 0x2163
0xA1E4	0xFF1E	# JIS 0x2164
0xA1E5	0x2266	# JIS 0x2165
0xA1E6	0x2267	# JIS 0x2166
0xA1E7	0x221E	# JIS 0x2167
0xA1E8	0x2234	# JIS 0x2168
0xA1E9	0x2642	# JIS 0x2169
0xA1EA	0x2640	# JIS 0x216A
0xA1EB	0x00B0	# JIS 0x216B
0xA1EC	0x2032	# JIS 0x216C
0xA1ED	0x2033	# JIS 0x216D
0xA1EE	0x2103	# JIS 0x216E
0xA1EF	0xFFE5	# JIS 0x216F
0xA1F0	0xFF04	# JIS 0x2170
0xA1F1	0x00A2	# JIS 0x2171
0xA1F2	0x00A3	# JIS 0x2172
0xA1F3	0xFF05	# JIS 0x2173
0xA1F4	0xFF03	# JIS 0x2174
0xA1F5	0xFF06	# JIS 0x2175
0xA1F6	0xFF0A	# JIS 0x2176
0xA1F7	0xFF20	# JIS 0x2177
0xA1F8	0x00A7	# JIS 0x2178
0xA1F9	0x2606	# JIS 0x2179
0xA1FA	0x2605	# JIS 0x217A
0xA1FB	0x25CB	# JIS 0x217B
0xA1FC	0x25CF	# JIS 0x217C
0xA1FD	0x25CE	# JIS 0x217D
0xA1FE	0x25C7	# JIS 0x217E
0xA2A1	0x25C6	# JIS 0x2221
0xA2A2	0x25A1	# JIS 0x2222
0xA2A3	0x25A0	# JIS 0x2223
0xA2A4	0x25B3	# JIS 0x2224
0xA2A5	0x25B2	# JIS 0x2225
0xA2A6	0x25BD	# JIS 0x2226
0xA2A7	0x25BC	# JIS 0x2227
0xA2A8	0x203B	# JIS 0x2228
0xA2A9	0x3012	# JIS 0x2229
0xA2AA	0x2192	# JIS 0x222A
0xA2AB	0x2190	# JIS 0x222B
0xA2AC	0x2191	# JIS 0x222C
0xA2AD	0x2193	# JIS 0x222D
0xA2AE	0x3013	# JIS 0x222E
0xA2BA	0x2208	# JIS 0x223A
0xA2BB	0x220B	# JIS 0x223B
0xA2BC	0x2286	# JIS 0x223C
0xA2BD	0x2287	# JIS 0x223D
0xA2BE	0x2282	# JIS 0x223E
0xA2BF	0x2283	# JIS 0x223F
0xA2C0	0x222A	# JIS 0x2240
0xA2C1	0x2229	# JIS 0x2241
0xA2CA	0x2227	# JIS 0x224A
0xA2CB	0x2228	# JIS 0x224B
0xA2CC	0x00AC	# JIS 0x224C
0xA2CD	0x21D2	# JIS 0x224D
0xA2CE	0x21D4	# JIS 0x224E
0xA2CF	0x2200	# JIS 0x224F
0xA2D0	0x2203	# JIS 0x2250
0xA2DC	0x2220	# JIS 0x225C
0xA2DD	0x22A5	# JIS 0x225D
0xA2DE	0x2312	# JIS 0x225E
0xA2DF	0x2202	# JIS 0x225F
0xA2E0	0x2207	# JIS 0x2260
0xA2E1	0x2261	# JIS 0x2261
0xA2E2	0x2252	# JIS 0x2262
0xA2E3	0x226A	# JIS 0x2263
0xA2E4	0x226B	# JIS 0x2264
0xA2E5	0x221A	# JIS 0x2265
0xA2E6	0x223D	# JIS 0x2266
0xA2E7	0x221D	# JIS 0x2267
0xA2E8	0x2235	# JIS 0x2268
0xA2E9	0x222B	# JIS 0x2269
0xA2EA	0x222C	# JIS 0x226A
0xA2F2	0x212B	# JIS 0x2272
0xA2F3	0x2030	# JIS 0x2273
0xA2F4	0x266F	# JIS 0x2274
0xA2F5	0x266D	# JIS 0x2275
0xA2F6	0x266A	# JIS 0x2276
0xA2F7	0x2020	# JIS 0x2277
0xA2F8	0x2021	# JIS 0x2278
0xA2F9	0x00B6	# JIS 0x2279
0xA2FE	0x25EF	# JIS 0x227E
0xA3B0	0xFF10	# JIS 0x2330
0xA3B1	0xFF11	# JIS 0x2331
0xA3B2	0xFF12	# JIS 0x2332
0xA3B3	0xFF13	# JIS 0x2333
0xA3B4	0xFF14	# JIS 0x2334
0xA3B5	0xFF15	# JIS 0x2335
0xA3B6	0xFF16	# JIS 0x2336
0xA3B7	0xFF17	# JIS 0x2337
0xA3B8	0xFF18	# JIS 0x2338
0xA3B9	0xFF19	# JIS 0x2339
0xA3C1	0xFF21	# JIS 0x2341
0xA3C2	0xFF22	# JIS 0x2342
0xA3C3	0xFF23	# JIS 0x2343
0xA3C4	0xFF24	# JIS 0x2344
0xA3C5	0xFF25	# JIS 0x2345
0xA3C6	0xFF26	# JIS 0x2346
0xA3C7	0xFF27	# JIS 0x2347
0xA3C8	0xFF28	# JIS 0x2348
0xA3C9	0xFF29	# JIS 0x2349
0xA3CA	0xFF2A	# JIS 0x234A
0xA3CB	0xFF2B	# JIS 0x234B
0xA3CC	0xFF2C	# JIS 0x234C
0xA3CD	0xFF2D	# JIS 0x234D
0xA3CE	0xFF2E	# JIS 0x234E
0xA3CF	0xFF2F	# JIS 0x234F
0xA3D0	0xFF30	# JIS 0x2350
0xA3D1	0xFF31	# JIS 0x2351
0xA3D2	0xFF32	# JIS 0x2352
0xA3D3	0xFF33	# JIS 0x2353
0xA3D4	0xFF34	# JIS 0x2354
0xA3D5	0xFF35	# JIS 0x2355
0xA3D6	0xFF36	# JIS 0x2356
0xA3D7	0xFF37	# JIS 0x2357
0xA3D8	0xFF38	# JIS 0x2358
0xA3D9	0xFF39	# JIS 0x2359
0xA3DA	0xFF3A	# JIS 0x235A
0xA3E1	0xFF41	# JIS 0x2361
0xA3E2	0xFF42	# JIS 0x2362
0xA3E3	0xFF43	# JIS 0x2363
0xA3E4	0xFF44	# JIS 0x2364
0xA3E5	0xFF45	# JIS 0x2365
0xA3E6	0xFF46	# JIS 0x2366
0xA3E7	0xFF47	# JIS 0x2367
0xA3E8	0xFF48	# JIS 0x2368
0xA3E9	0xFF49	# JIS 0x2369
0xA3EA	0xFF4A	# JIS 0x236A
0xA3EB	0xFF4B	# JIS 0x236B
0xA3EC	0xFF4C	# JIS 0x236C
0xA3ED	0xFF4D	# JIS 0x236D
0xA3EE	0xFF4E	# JIS 0x236E
0xA3EF	0xFF4F	# JIS 0x236F
0xA3F0	0xFF50	# JIS 0x2370
0xA3F1	0xFF51	# JIS 0x2371
0xA3F2	0xFF52	# JIS 0x2372
0xA3F3	0xFF53	# JIS 0x2373
0xA3F4	0xFF54	# JIS 0x2374
0xA3F5	0xFF55	# JIS 0x2375
0xA3F6	0xFF56	# JIS 0x2376
0xA3F7	0xFF57	# JIS 0x2377
0xA3F8	0xFF58	# JIS 0x2378
0xA3F9	0xFF59	# JIS 0x2379
0xA3FA	0xFF5A	# JIS 0x237A
0xA4A1	0x3041	# JIS 0x2421
0xA4A2	0x3042	# JIS 0x2422
0xA4A3	0x3043	# JIS 0x2423
0xA4A4	0x3044	# JIS 0x2424
0xA4A5	0x3045	# JIS 0x2425
0xA4A6	0x3046	# JIS 0x2426
0xA4A7	0x3047	# JIS 0x2427
0xA4A8	0x3048	# JIS 0x2428
0xA4A9	0x3049	# JIS 0x2429
0xA4AA	0x304A	# JIS 0x242A
0xA4AB	0x304B	# JIS 0x242B
0xA4AC	0x304C	# JIS 0x242C
0xA4AD	0x304D	# JIS 0x242D
0xA4AE	0x304E	# JIS 0x242E
0xA4AF	0x304F	# JIS 0x242F
0xA4B0	0x3050	# JIS 0x2430
0xA4B1	0x3051	# JIS 0x2431
0xA4B2	0x3052	# JIS 0x2432
0xA4B3	0x3053	# JIS 0x2433
0xA4B4	0x3054	# JIS 0x2434
0xA4B5	0x3055	# JIS 0x2435
0xA4B6	0x3056	# JIS 0x2436
0xA4B7	0x3057	# JIS 0x2437
0xA4B8	0x3058	# JIS 0x2438
0xA4B9	0x3059	# JIS 0x2439
0xA4BA	0x305A	# JIS 0x243A
0xA4BB	0x305B	# JIS 0x243B
0xA4BC	0x305C	# JIS 0x243C
0xA4BD	0x305D	# JIS 0x243D
0xA4BE	0x305E	# JIS 0x243E
0xA4BF	0x305F	# JIS 0x243F
0xA4C0	0x3060	# JIS 0x2440
0xA4C1	0x3061	# JIS 0x2441
0xA4C2	0x3062	# JIS 0x2442
0xA4C3	0x3063	# JIS 0x2443
0xA4C4	0x3064	# JIS 0x2444
0xA4C5	0x3065	# JIS 0x2445
0xA4C6	0x3066	# JIS 0x2446
0xA4C7	0x3067	# JIS 0x2447
0xA4C8	0x3068	# JIS 0x2448
0xA4C9	0x3069	# JIS 0x2449
0xA4CA	0x306A	# JIS 0x244A
0xA4CB	0x306B	# JIS 0x244B
0xA4CC	0x306C	# JIS 0x244C
0xA4CD	0x306D	# JIS 0x244D
0xA4CE	0x306E	# JIS 0x244E
0xA4CF	0x306F	# JIS 0x244F
0xA4D0	0x3070	# JIS 0x2450
0xA4D1	0x3071	# JIS 0x2451
0xA4D2	0x3072	# JIS 0x2452
0xA4D3	0x3073	# JIS 0x2453
0xA4D4	0x3074	# JIS 0x2454
0xA4D5	0x3075	# JIS 0x2455
0xA4D6	0x3076	# JIS 0x2456
0xA4D7	0x3077	# JIS 0x2457
0xA4D8	0x3078	# JIS 0x2458
0xA4D9	0x3079	# JIS 0x2459
0xA4DA	0x307A	# JIS 0x245A
0xA4DB	0x307B	# JIS 0x245B
0xA4DC	0x307C	# JIS 0x245C
0xA4DD	0x307D	# JIS 0x245D
0xA4DE	0x307E	# JIS 0x245E
0xA4DF	0x307F	# JIS 0x245F
0xA4E0	0x3080	# JIS 0x2460
0xA4E1	0x3081	# JIS 0x2461
0xA4E2	0x3082	# JIS 0x2462
0xA4E3	0x3083	# JIS 0x2463
0xA4E4	0x3084	# JIS 0x2464
0xA4E5	0x3085	# JIS 0x2465
0xA4E6	0x3086	# JIS 0x2466
0xA4E7	0x3087	# JIS 0x2467
0xA4E8	0x3088	# JIS 0x2468
0xA4E9	0x3089	# JIS 0x2469
0xA4EA	0x308A	# JIS 0x246A
0xA4EB	0x308B	# JIS 0x246B
0xA4EC	0x308C	# JIS 0x246C
0xA4ED	0x308D	# JIS 0x246D
0xA4EE	0x308E	# JIS 0x246E
0xA4EF	0x308F	# JIS 0x246F
0xA4F0	0x3090	# JIS 0x2470
0xA4F1	0x3091	# JIS 0x2471
0xA4F2	0x3092	# JIS 0x2472
0xA4F3	0x3093	# JIS 0x2473
0xA5A1	0x30A1	# JIS 0x2521
0xA5A2	0x30A2	# JIS 0x2522
0xA5A3	0x30A3	# JIS 0x2523
0xA5A4	0x30A4	# JIS 0x2524
0xA5A5	0x30A5	# JIS 0x2525
0xA5A6	0x30A6	# JIS 0x2526
0xA5A7	0x30A7	# JIS 0x2527
0xA5A8	0x30A8	# JIS 0x2528
0xA5A9	0x30A9	# JIS 0x2529
0xA5AA	0x30AA	# JIS 0x252A
0xA5AB	0x30AB	# JIS 0x252B
0xA5AC	0x30AC	# JIS 0x252C
0xA5AD	0x30AD	# JIS 0x252D
0xA5AE	0x30AE	# JIS 0x252E
0xA5AF	0x30AF	# JIS 0x252F
0xA5B0	0x30B0	# JIS 0x2530
0xA5B1	0x30B1	# JIS 0x2531
0xA5B2	0x30B2	# JIS 0x2532
0xA5B3	0x30B3	# JIS 0x2533
0xA5B4	0x30B4	# JIS 0x2534
0xA5B5	0x30B5	# JIS 0x2535
0xA5B6	0x30B6	# JIS 0x2536
0xA5B7	0x30B7	# JIS 0x2537
0xA5B8	0x30B8	# JIS 0x2538
0xA5B9	0x30B9	# JIS 0x2539
0xA5BA	0x30BA	# JIS 0x253A
0xA5BB	0x30BB	# JIS 0x253B
0xA5BC	0x30BC	# JIS 0x253C
0xA5BD	0x30BD	# JIS 0x253D
0xA5BE	0x30BE	# JIS 0x253E
0xA5BF	0x30BF	# JIS 0x253F
0xA5C0	0x30C0	# JIS 0x2540
0xA5C1	0x30C1	# JIS 0x2541
0xA5C2	0x30C2	# JIS 0x2542
0xA5C3	0x30C3	# JIS 0x2543
0xA5C4	0x30C4	# JIS 0x2544
0xA5C5	0x30C5	# JIS 0x2545
